,close,date,high,low,open,quoteVolume,volume,weightedAverage
224,6510,1510686900,6533.61299986,6508.96489893,6530.03777,5.29140443,34494.05020951,6518.8837228
225,6510.02514093,1510687200,6519.988,6487.80311083,6510,49.28021806,320466.66588685,6502.94739963
226,6529.10000004,1510687500,6539,6505.00000001,6510.02514093,9.02372255,58863.23936034,6523.16591453
227,6561,1510687800,6566,6531.00000006,6531.00000006,34.66572267,227172.52307687,6553.23199921
228,6539.89399999,1510688100,6555.44700008,6538.66071811,6548.04423143,13.90370541,90993.68348383,6544.56353903
229,6539.44699931,1510688400,6540,6520.04020683,6538.66071811,8.51949554,55649.5155329,6532.02003236
230,6540.03465523,1510688700,6550.9,6525.00000013,6539.44699927,12.26911354,80191.26838358,6536.02789819
231,6558,1510689000,6558,6540,6540,16.25865313,106434.45661507,6546.32679374
232,6589,1510689300,6593,6553.05300001,6558,43.66649761,286960.26235673,6571.63450386
233,6576.00000008,1510689600,6594.39267646,6560.28506559,6591.99999991,21.08843353,138828.63200937,6583.16473871
234,6576.000001,1510689900,6582.91388737,6573,6576.00000008,13.59382347,89395.01823069,6576.1497071
235,6597.76665579,1510690200,6598.2659,6576.000001,6579.457,30.8327426,203140.86369906,6588.47856431
236,6620.00000002,1510690500,6621.0949412,6597.76665578,6598.00000001,100.41661891,663156.01858315,6604.04647937
237,6605.99999997,1510690800,6621.0949412,6575.00000009,6620.00000002,48.51249905,320028.8577483,6596.83306395
238,6618.8,1510691100,6619.99000002,6593.37451267,6593.37451267,43.53222446,287845.43912612,6612.23823723
239,6608.0000999,1510691400,6619.98999999,6586.78103913,6618.79999999,22.77485027,150296.73016303,6599.24119725
240,6600.66872562,1510691700,6625.00000145,6599.99999989,6608.00009991,25.27559427,167212.95014189,6615.5892659
241,6600.58414329,1510692000,6607,6587.21808902,6600.822,11.42620892,75399.19979809,6598.79408174
242,6600.6950493,1510692300,6620,6600.58414329,6600.66872566,18.42116923,121782.95576546,6611.03289617
243,6610,1510692600,6610.66872567,6600,6607.31087573,14.90681303,98484.4099264,6606.67103881
244,6603,1510692900,6616.57,6600,6610.66872567,19.6414734,129710.59604326,6603.91373914
245,6601.669,1510693200,6612.66872562,6601.669,6604,20.57674366,135937.01173969,6606.34228553
246,6590.0385,1510693500,6605.835,6575.00000011,6605.83499997,31.15494228,205331.75043675,6590.66380516
247,6578.25685594,1510693800,6595.95532451,6575.00000011,6586.5966543,17.15713026,112974.36612416,6584.68895509
